"","X","cohort","current_age","next_age","trans_female","trans_male","cohort_group","trans_gap"
"31",30,2006,12,13,0.931351733899505,0.941236068895643,2005,0.989498559051465
"32",31,2004,1,2,0.963734567901235,0.967071057192374,2000,0.99654990265056
"33",32,2004,2,3,0.934747798238591,0.948626045400239,2000,0.985370160107935
"34",33,2004,3,4,0.944325481798715,0.952770780856423,2000,0.991136064174726
"35",34,2004,4,5,0.929705215419501,0.933245208195638,2000,0.996206792443134
"36",35,2004,5,6,0.927804878048781,0.94971671388102,2000,0.976928029682981
"37",36,2004,6,7,0.936908517350158,0.947054436987323,2000,0.989286867532726
"38",37,2004,7,8,0.942199775533109,0.94488188976378,2000,0.997161429105874
"39",38,2004,8,9,0.945205479452055,0.95,2000,0.994953136265321
"40",39,2004,9,10,0.936357908002521,0.945614035087719,2000,0.990211516811571
"41",40,2004,10,11,0.932032301480485,0.945269016697588,2000,0.985996880270817
"42",41,2004,11,12,0.937906137184116,0.948969578017664,2000,0.988341627498049
"43",42,2004,12,13,0.953040800615858,0.956566701137539,2000,0.996314004535714
"44",43,2004,13,14,0.955573505654281,0.942702702702703,2000,1.01365308799336
"45",44,2004,14,15,0.954353338968724,0.946100917431193,2000,1.00872255949179
"46",45,2000,1,2,0.960975609756098,0.969083754918494,2000,0.991633184313282
"47",46,2000,2,3,0.938578680203046,0.954756380510441,2000,0.983055677199302
"48",47,2000,3,4,0.939426717144402,0.943499392466586,2000,0.9956834362007
"49",48,2000,4,5,0.937823834196891,0.949774629748873,2000,0.987417230174761
"50",49,2000,5,6,0.933701657458563,0.956610169491525,2000,0.976052405918768
"51",50,2000,6,7,0.938856015779093,0.957476966690291,2000,0.980552063852183
"52",51,2000,7,8,0.94327731092437,0.958549222797927,2000,0.984067681126505
"53",52,2000,8,9,0.955456570155902,0.960617760617761,2000,0.994627217324673
"54",53,2000,9,10,0.944055944055944,0.958199356913183,2000,0.985239592622143
"55",54,2000,10,11,0.97119341563786,0.964765100671141,2000,1.00666308820898
"56",55,2000,11,12,0.961864406779661,0.969565217391304,2000,0.992057459907274
"57",56,2000,12,13,0.964757709251101,0.958744394618834,2000,1.00627207279231
"58",57,2000,13,14,0.961643835616438,0.965388213283442,2000,0.99612137623447
"59",58,2000,14,15,0.937321937321937,0.945736434108527,2000,0.991102704217458
"60",59,2000,15,16,0.942249240121581,0.952868852459016,2000,0.988855116514691
"61",60,2000,16,17,0.96989247311828,0.966666666666667,2000,1.00333704115684
"62",61,2000,17,18,0.955654101995565,0.953281423804227,2000,1.00248895880282
"63",62,2000,18,19,0.947795823665893,0.933488914819137,2000,1.01532627610209
"64",63,2005,1,2,0.959309021113244,0.96316758747698,2005,0.995993878517192
"65",64,2005,2,3,0.94077631052421,0.959847036328872,2005,0.980131494829007
"66",65,2005,3,4,0.931093151850277,0.940903054448871,2005,0.989573949672912
"67",66,2005,4,5,0.917770671539516,0.938602681721948,2005,0.977805294414657
"68",67,2005,5,6,0.932802389248382,0.941353383458647,2005,0.990916276118489
"69",68,2005,6,7,0.941835645677695,0.94408945686901,2005,0.997612714372651
"70",69,2005,7,8,0.942776203966006,0.94839255499154,2005,0.994078031300463
"71",70,2005,8,9,0.923677884615385,0.933987511150758,2005,0.988961708360884
"72",71,2005,9,10,0.929733246584255,0.936007640878701,2005,0.993296642013995
"73",72,2005,10,11,0.939818054583625,0.938775510204082,2005,1.0011105364043
"74",73,2005,11,12,0.938198064035741,0.947826086956522,2005,0.989841994166149
"75",74,2005,12,13,0.938888888888889,0.951834862385321,2005,0.986398929049531
"76",75,2005,13,14,0.934065934065934,0.943373493975904,2005,0.990133748754438
"77",76,2010,1,2,0.948236488200964,0.95144804088586,2010,0.996624563247925
"78",77,2010,2,3,0.91998929622692,0.929722470904208,2010,0.989531096663909
"79",78,2010,3,4,0.930482838859802,0.932113625421281,2010,0.998250442309819
"80",79,2010,4,5,0.917474210690841,0.931301652892562,2010,0.985152563448402
"81",80,2010,5,6,0.926405451448041,0.937881308929562,2010,0.987764062070265
